Freight,CustomerID,ShipVia
1.21,ALFKI,1
69.53,ALFKI,3
61.02,ALFKI,2
40.42,ALFKI,1
23.94,ALFKI,1
29.46,ALFKI,1
11.99,ANATR,3
1.61,ANATR,3
39.92,ANATR,3
43.9,ANATR,1
84.84,ANTON,3
15.64,ANTON,1
58.43,ANTON,2
22,ANTON,2
4.03,ANTON,3
36.13,ANTON,2
47.45,ANTON,1
72.97,AROUT,2
25.36,AROUT,2
29.61,AROUT,2
4.52,AROUT,3
23.72,AROUT,2
21.74,AROUT,3
146.32,AROUT,2
33.8,AROUT,2
10.96,AROUT,3
41.95,AROUT,1
34.24,AROUT,3
3.04,AROUT,2
138.69,BERGS,2
8.98,BERGS,1
244.79,BERGS,2
6.79,BERGS,1
13.32,BERGS,3
151.52,BERGS,2
32.37,BERGS,2
168.64,BERGS,3
116.43,BERGS,2
188.85,BERGS,2
3.5,BERGS,3
13.42,BERGS,2
9.3,BERGS,1
55.26,BERGS,1
92.69,BERGS,2
109.11,BERGS,1
95.75,BERGS,2
110.11,BERGS,3
0.15,BLAUS,1
44.65,BLAUS,2
31.14,BLAUS,3
27.71,BLAUS,2
1.93,BLAUS,3
8.85,BLAUS,3
53.83,BLAUS,2
7.09,BLONP,1
5.74,BLONP,2
88.4,BLONP,1
131.7,BLONP,3
156.66,BLONP,2
8.05,BLONP,1
55.28,BLONP,1
27.94,BLONP,3
59.14,BLONP,1
30.36,BLONP,3
53.3,BLONP,2
77.92,BOLID,2
97.09,BOLID,2
16.16,BOLID,1
11.06,BONAP,2
63.54,BONAP,2
60.42,BONAP,3
10.19,BONAP,1
16.71,BONAP,2
96.04,BONAP,1
64.56,BONAP,2
134.64,BONAP,1
20.12,BONAP,1
350.64,BONAP,3
112.27,BONAP,2
19.77,BONAP,3
16.97,BONAP,1
113.15,BONAP,2
38.28,BONAP,2
63.2,BONAP,1
166.31,BONAP,3
47.42,BOTTM,2
32.27,BOTTM,3
24.12,BOTTM,3
44.17,BOTTM,2
2.4,BOTTM,3
70.58,BOTTM,2
14.01,BOTTM,1
52.52,BOTTM,1
243.73,BOTTM,3
52.92,BOTTM,3
48.83,BOTTM,3
62.89,BOTTM,1
74.44,BOTTM,3
23.65,BOTTM,3
12.36,BSBEV,3
3.26,BSBEV,2
29.6,BSBEV,3
4.87,BSBEV,3
6.88,BSBEV,3
22.77,BSBEV,3
29.98,BSBEV,3
2.17,BSBEV,2
123.83,BSBEV,2
45.59,BSBEV,3
17.22,CACTU,2
19.76,CACTU,3
1.1,CACTU,3
2.84,CACTU,1
31.51,CACTU,3
0.33,CACTU,1
3.25,CENTC,3
48.22,CHOPS,2
31.43,CHOPS,3
1.17,CHOPS,2
96.65,CHOPS,1
27.19,CHOPS,1
91.76,CHOPS,3
22.98,CHOPS,2
47.84,CHOPS,1
0.21,COMMI,2
29.99,COMMI,1
65.99,COMMI,2
79.7,COMMI,1
11.93,COMMI,1
6.17,CONSH,1
38.24,CONSH,2
9.21,CONSH,2
7.98,DRACD,2
79.25,DRACD,1
33.35,DRACD,2
5.45,DRACD,3
149.47,DRACD,3
30.54,DRACD,3
1.85,DUMON,2
24.69,DUMON,3
32.76,DUMON,1
4.4,DUMON,1
83.93,EASTC,3
71.97,EASTC,1
185.48,EASTC,1
74.46,EASTC,3
16.56,EASTC,1
278.96,EASTC,2
46.62,EASTC,3
74.36,EASTC,1
96.78,ERNSH,1
162.75,ERNSH,1
126.66,ERNSH,2
789.95,ERNSH,2
458.78,ERNSH,1
67.88,ERNSH,2
754.26,ERNSH,2
96.43,ERNSH,3
100.22,ERNSH,2
351.53,ERNSH,3
411.88,ERNSH,1
101.95,ERNSH,2
145.45,ERNSH,3
258.64,ERNSH,2
126.38,ERNSH,1
117.61,ERNSH,3
353.07,ERNSH,2
11.19,ERNSH,2
47.94,ERNSH,2
79.46,ERNSH,3
94.77,ERNSH,1
162.33,ERNSH,1
272.47,ERNSH,1
74.6,ERNSH,3
73.79,ERNSH,3
78.09,ERNSH,1
477.9,ERNSH,3
146.06,ERNSH,3
26.06,ERNSH,3
140.51,ERNSH,1
13.99,FAMIA,3
176.81,FAMIA,3
10.83,FAMIA,3
3.01,FAMIA,1
3.53,FAMIA,2
3.1,FAMIA,3
21.48,FAMIA,3
1.35,FOLIG,2
37.35,FOLIG,3
100.6,FOLIG,2
11.26,FOLIG,1
487.38,FOLIG,3
44.15,FOLKO,1
328.74,FOLKO,1
48.2,FOLKO,1
1.23,FOLKO,1
16.27,FOLKO,1
59.41,FOLKO,2
208.5,FOLKO,3
17.92,FOLKO,2
5.44,FOLKO,3
3.67,FOLKO,3
63.36,FOLKO,1
8.81,FOLKO,3
197.3,FOLKO,2
1.26,FOLKO,1
88.01,FOLKO,1
188.04,FOLKO,1
152.3,FOLKO,2
242.21,FOLKO,2
3.26,FOLKO,2
242.95,FRANK,3
31.85,FRANK,2
4.93,FRANK,2
36.65,FRANK,1
59.25,FRANK,2
33.93,FRANK,1
76.1,FRANK,2
97.18,FRANK,2
16.85,FRANK,2
135.35,FRANK,3
93.25,FRANK,1
203.48,FRANK,1
208.58,FRANK,1
108.26,FRANK,3
54.83,FRANK,2
30.34,FRANR,1
19.26,FRANR,3
121.82,FRANR,2
10.98,FRANS,2
3.02,FRANS,1
7.7,FRANS,1
1.36,FRANS,1
47.09,FRANS,1
4.98,FRANS,1
89,FURIB,2
72.95,FURIB,3
16.96,FURIB,3
1.3,FURIB,3
1.27,FURIB,3
87.03,FURIB,3
7.46,FURIB,1
2.7,FURIB,3
18.69,GALED,1
10.14,GALED,2
1.36,GALED,1
6.54,GALED,3
1.25,GALED,3
19.58,GODOS,2
175.32,GODOS,2
3.2,GODOS,1
85.46,GODOS,3
38.19,GODOS,1
23.39,GODOS,3
107.83,GODOS,2
4.32,GODOS,3
51.87,GODOS,2
59.11,GODOS,1
33.75,GOURL,2
7.14,GOURL,2
8.34,GOURL,1
3.01,GOURL,2
24.5,GOURL,3
28.23,GOURL,1
210.8,GOURL,3
4.98,GOURL,2
1.63,GOURL,3
57.15,GREAL,1
719.78,GREAL,2
3.35,GREAL,2
14.01,GREAL,3
76.13,GREAL,3
4.42,GREAL,2
33.68,GREAL,2
18.84,GREAL,3
116.53,GREAL,2
25.19,GREAL,2
18.53,GREAL,2
